south,north
0.00012498,0.00048948
0.00014589,0.00039174
0.00012009,0.00019944
0.00001835,0.00017723
0.00012572,0.00021764
0.00007828,0.00044886
0.00023601,0.00009714
0.0001673,0.00010281
0.00031447,0.00031298
0.00006159,0.00022189
0.00000571,0.00025632
0.00025753,0.00045229
0.00022643,0.00014263
0.00018515,0.00036343
0.00030908,0.00043735
-0.00009819,0.00040491
0.00031538,0.00024206
0.00028208,0.00045873
0.00028056,0.0007009
0.00080577,0.00049571
0.00076375,0.00056404
0.00075172,0.00021836
0.00067013,0.00054669
0.00046882,0.00054577
0.00068891,0.00037021
0.00001358,0.00031237
0.0008139,0.00027385
0.00058835,0.00042602
0.00045239,0.00044814
-0.00013745,0.00042734
0.00073881,0.00025196
0.00018479,0.00008887
0.00045545,0.00044151
0.00013536,0.00034239
0.0006937,0.00047422
0.00066532,0.00015789
0.00065341,0.0004875
0.00050162,0.00052979
0.00058454,0.00050299
0.00003165,0.00041265
0.00073483,0.000313
0.00015824,0.00037847
0.00047082,0.00002637
0.00065937,0.00033211
0.00023961,0.00035032
0.0006734,0.00035311
0.00027917,0.0006609
0.00055161,0.00063478
0.00061051,0.0003435
0.00101448,0.00045595
0.00024022,0.00038777
0.00005631,0.0003744
0.0001015,0.00030985
0.00060774,0.00009363
0.00067926,0.00027973
0.00017584,0.00041075
0.00008267,0.0007338
0.00018345,0.0007053
0.00070799,0.00018161
0.00076339,0.00068906
0.00077031,0.0003423
0.00018691,0.00019184
0.00003108,0.00051395
0.00076302,0.00021409
0.00015167,0.00010939
0.00081654,0.00021931
-0.00009635,0.00024517
0.00031004,0.00010437
0.00013847,0.00023713
0.0004687,0.00084385
0.00016053,0.00024977
0.00040108,0.00009019
0.00026427,-0.00029164
0.00010362,
0.00027384,
0.00019828,
0.0005462,
0.00007398,
-0.00063338,
