rate_in_budget,area,rate_in_fatness
0.155,clean_air,0.000665322
0.1103,clean_air,0.00080577
0.1714,clean_air,0.000738808
0.2538,clean_air,0.000816536
0.1598,clean_air,0.001014485
0.192,clean_air,0.000751719
0.1846,clean_air,0.000763024
0.2302,clean_air,0.000770308
0.3375,clean_air,0.000607736
0.253,clean_air,0.000670131
0.2044,clean_air,0.000659372
0.2251,clean_air,0.000734827
0.2231,clean_air,0.000763746
0.2429,clean_air,0.000707989
0.2043,clean_air,0.000688909
0.045,clean_air,0.000653412
0.08,clean_air,0.000693699
0.3618,clean_air,0.000584542
0.2682,clean_air,0.000610508
0.1086,clean_air,0.000813901
0.1444,clean_air,0.000673399
0.215,clean_air,0.000501618
0.2273,clean_air,0.000588354
0.1511,clean_air,0.000763386
0.2167,clean_air,0.000551612
0.2375,clean_air,0.000679257
0.24,clean_air,7.39798E-05
0.2392,clean_air,0.000455453
0.2133,clean_air,0.00045239
0.2314,clean_air,0.000310038
0.1757,clean_air,0.000468825
0.2778,clean_air,0.000279174
0.2526,clean_air,0.000470818
0.11,health_training,0.000665322
0.0759,health_training,0.00080577
0.1,health_training,0.000738808
0.0769,health_training,0.000816536
0.1183,health_training,0.001014485
0.096,health_training,0.000751719
0.1231,health_training,0.000763024
0.0935,health_training,0.000770308
0.1125,health_training,0.000607736
0.0683,health_training,0.000670131
0.0718,health_training,0.000659372
0.0209,health_training,0.000734827
0.1231,health_training,0.000763746
0.0929,health_training,0.000707989
0.1217,health_training,0.000688909
0.095,health_training,0.000653412
0.12,health_training,0.000693699
0.0704,health_training,0.000584542
0.0335,health_training,0.000610508
0.095,health_training,0.000813901
0.1667,health_training,0.000673399
0.085,health_training,0.000501618
0.1045,health_training,0.000588354
0.1295,health_training,0.000763386
0.0667,health_training,0.000551612
0.05,health_training,0.000679257
0.12,health_training,7.39798E-05
0.0861,health_training,0.000455453
0.1517,health_training,0.00045239
0.1074,health_training,0.000310038
0.0921,health_training,0.000468825
0.0889,health_training,0.000279174
0.0421,health_training,0.000470818
0.27,school_awearness,0.000665322
0.2172,school_awearness,0.00080577
0.2095,school_awearness,0.000738808
0.1538,school_awearness,0.000816536
0.2544,school_awearness,0.001014485
0.216,school_awearness,0.000751719
0.2231,school_awearness,0.000763024
0.1511,school_awearness,0.000770308
0.2813,school_awearness,0.000607736
0.2289,school_awearness,0.000670131
0.1934,school_awearness,0.000659372
0.3246,school_awearness,0.000734827
0.0615,school_awearness,0.000763746
0.1929,school_awearness,0.000707989
0.3391,school_awearness,0.000688909
0.33,school_awearness,0.000653412
0.18,school_awearness,0.000693699
0.3216,school_awearness,0.000584542
0.2291,school_awearness,0.000610508
0.2896,school_awearness,0.000813901
0.2444,school_awearness,0.000673399
0.295,school_awearness,0.000501618
0.3364,school_awearness,0.000588354
0.295,school_awearness,0.000763386
0.3056,school_awearness,0.000551612
0.1875,school_awearness,0.000679257
0.4,school_awearness,7.39798E-05
0.2967,school_awearness,0.000455453
0.3412,school_awearness,0.00045239
0.2975,school_awearness,0.000310038
0.2008,school_awearness,0.000468825
0.3667,school_awearness,0.000279174
0.2105,school_awearness,0.000470818
0.155,media_awearness,0.000665322
0.203448276,media_awearness,0.00080577
0.1,media_awearness,0.000738808
0.146153846,media_awearness,0.000816536
0.130177515,media_awearness,0.001014485
0.104,media_awearness,0.000751719
0.092307692,media_awearness,0.000763024
0.201438849,media_awearness,0.000770308
0.0875,media_awearness,0.000607736
0.112449799,media_awearness,0.000670131
0.287292818,media_awearness,0.000659372
0.089005236,media_awearness,0.000734827
0.057692308,media_awearness,0.000763746
0.135714286,media_awearness,0.000707989
0.091304348,media_awearness,0.000688909
0.1,media_awearness,0.000653412
0.085,media_awearness,0.000693699
0.075376884,media_awearness,0.000584542
0.055865922,media_awearness,0.000610508
0.14479638,media_awearness,0.000813901
0.033333333,media_awearness,0.000673399
0.16,media_awearness,0.000501618
0.136363636,media_awearness,0.000588354
0.129496403,media_awearness,0.000763386
0.144444444,media_awearness,0.000551612
0.14375,media_awearness,0.000679257
0.04,media_awearness,7.39798E-05
0.043062201,media_awearness,0.000455453
0.075829384,media_awearness,0.00045239
0.115702479,media_awearness,0.000310038
0.163179916,media_awearness,0.000468825
0.066666667,media_awearness,0.000279174
0.115789474,media_awearness,0.000470818
0.085,sub_counselling,0.000665322
0.117241379,sub_counselling,0.00080577
0.085714286,sub_counselling,0.000738808
0.046153846,sub_counselling,0.000816536
0.071005917,sub_counselling,0.001014485
0.08,sub_counselling,0.000751719
0.076923077,sub_counselling,0.000763024
0.043165468,sub_counselling,0.000770308
0.0875,sub_counselling,0.000607736
0.064257028,sub_counselling,0.000670131
0.082872928,sub_counselling,0.000659372
0.151832461,sub_counselling,0.000734827
0.107692308,sub_counselling,0.000763746
0.014285714,sub_counselling,0.000707989
0.126086957,sub_counselling,0.000688909
0.1,sub_counselling,0.000653412
0.105,sub_counselling,0.000693699
0.035175879,sub_counselling,0.000584542
0.061452514,sub_counselling,0.000610508
0.104072398,sub_counselling,0.000813901
0.105555556,sub_counselling,0.000673399
0.095,sub_counselling,0.000501618
0.118181818,sub_counselling,0.000588354
0.136690647,sub_counselling,0.000763386
0.088888889,sub_counselling,0.000551612
0.0375,sub_counselling,0.000679257
0.02,sub_counselling,7.39798E-05
0.043062201,sub_counselling,0.000455453
0.037914692,sub_counselling,0.00045239
0.033057851,sub_counselling,0.000310038
0.066945607,sub_counselling,0.000468825
0.083333333,sub_counselling,0.000279174
0.047368421,sub_counselling,0.000470818
