local_authority_area,2018-2008_rate_of_fatness,clean_air_change
Isles of Scilly,-0.000633383010432 ,0.0000 
Newcastle upon Tyne,0.000342391285857 ,0.0636 
Telford and Wrekin,0.000109394540888 ,0.1273 
City of London,0.000073979759597 ,0.2400 
Cambridgeshire,0.000005712487202 ,0.2704 
Salford,0.000350321387023 ,0.2063 
Poole,0.000198276712858 ,0.1600 
Nottingham,0.000088866737845 ,0.2036 
Camden,0.000279174036517 ,0.2778 
Milton Keynes,-0.000137445344665 ,0.1381 
Herefordshire,0.000191838507147 ,0.0333 
Southampton,0.000031652993351 ,0.1414 
Havering,0.000452390422947 ,0.2133 
Croydon,0.000688908925200 ,0.2043 
Surrey,0.000018354612915 ,0.2168 
Barnet,0.000588354352145 ,0.2273 
Redbridge,0.000653412097992 ,0.0450 
Wiltshire,-0.000098192217498 ,0.0289 
Bury,0.000410749163759 ,0.1773 
Harrow,0.000734827466813 ,0.2251 
Bexley,0.000584541800475 ,0.3618 
West Berkshire,0.000082668746411 ,0.0426 
Durham,0.000404913406396 ,0.2628 
Kingston upon Hull,0.000313001755163 ,0.1150 
Nottinghamshire,0.000097135478026 ,0.2533 
North Somerset,0.000101497705778 ,0.1625 
Bath and North East Somerset,0.000056311592689 ,0.2050 
Lincolnshire,0.000102810672954 ,0.2383 
Rochdale,0.000733796320544 ,0.2286 
Devon,0.000167297653018 ,0.1310 
Waltham Forest,0.000551611693275 ,0.2167 
Stoke on Trent,0.000026366654687 ,0.1900 
Gloucestershire,0.000257530221106 ,0.1068 
Leicestershire,0.000256319692996 ,0.2658 
Bournemouth,0.000031079571289 ,0.2385 
Hammersmith and Fulham,0.000310038340212 ,0.2314 
Hillingdon,0.000455453299096 ,0.2392 
Leeds,0.000448856407816 ,0.2164 
Stockport,0.000474215542395 ,0.1955 
Barking and Dagenham,0.000763386334012 ,0.1511 
Wandsworth,0.000501617905853 ,0.2150 
East Riding of Yorkshire,0.000218358051033 ,0.3309 
North East Lincolnshire,0.000219310667180 ,0.2273 
Southwark,0.000813901326909 ,0.1086 
Warrington,0.000353108310894 ,0.2444 
St Helens,0.000181611738105 ,0.2518 
Blackpool,0.000104365581848 ,0.2424 
Sutton,0.000607736375809 ,0.3375 
Rutland,-0.000291641859568 ,0.3333 
Wolverhampton,0.000529788252963 ,0.0896 
Plymouth,0.000135355690268 ,0.1483 
Newham,0.000665321995691 ,0.1550 
South Tyneside,0.000342300412494 ,0.1231 
Medway,0.000158242402043 ,0.2579 
Cheshire West and Chester,0.000564042455617 ,0.3488 
Knowsley,0.000513954567083 ,0.1417 
Trafford,0.000374395849902 ,0.1467 
Essex,0.000120089963650 ,0.2776 
Bradford,0.000452294378031 ,0.2138 
Hackney,0.001014484819220 ,0.1598 
Suffolk,0.000061587092232 ,0.2987 
Portsmouth,0.000240217225462 ,0.2099 
Southend on Sea,0.000160526516940 ,0.2185 
Tameside,0.000634779893265 ,0.0643 
Kent,0.000124977381003 ,0.2376 
Dorset,0.000280563717082 ,0.2258 
Slough,0.000401082544210 ,0.1364 
East Sussex,0.000226426864462 ,0.2094 
Lewisham,0.000673399108036 ,0.1444 
Manchester,0.000363432691349 ,0.3394 
Sunderland,0.000370207055712 ,0.2615 
North Lincolnshire,0.000279726786013 ,0.2411 
Walsall,0.000412649402631 ,0.2090 
Cumbria,0.000242063646250 ,0.2382 
Hampshire,0.000145887863322 ,0.1670 
