rate_in_budget,area,rate_in_fatness
0.1648,clean_air,0.000843852
0.2885,clean_air,0.000546689
0.3488,clean_air,0.000564042
0.2935,clean_air,0.000700904
0.0643,clean_air,0.00063478
0.1278,clean_air,0.000660904
0.2901,clean_air,0.000689061
0.0792,clean_air,0.000448144
0.3301,clean_air,0.000487498
0.2286,clean_air,0.000733796
0.2736,clean_air,0.000502987
0.0357,clean_air,0.000705296
0.2563,clean_air,0.000455946
0.2341,clean_air,0.000495708
0.1955,clean_air,0.000474216
0.2164,clean_air,0.000448856
0.3023,clean_air,0.000437352
0.0576,clean_air,0.000458731
0.265,clean_air,0.00037847
0.115,clean_air,0.000313002
0.2411,clean_air,0.000279727
0.3087,clean_air,0.000309848
0.2628,clean_air,0.000404913
0.2138,clean_air,0.000452294
0.2708,clean_air,0.000426022
0.2438,clean_air,0.000343499
0.1417,clean_air,0.000513955
0.2382,clean_air,0.000242064
0.2867,clean_air,0.000387769
0.1231,clean_air,0.0003423
0.225,clean_air,0.000391736
0.2063,clean_air,0.000350321
0.3309,clean_air,0.000218358
0.1166,clean_air,0.000312984
0.3318,clean_air,0.00044151
0.0636,clean_air,0.000342391
0.2424,clean_air,0.000104366
0.1773,clean_air,0.000410749
0.2615,clean_air,0.000370207
0.2273,clean_air,0.000219311
0.3361,clean_air,0.000214088
0.1467,clean_air,0.000374396
0.3394,clean_air,0.000363433
0.3131,clean_air,0.000237128
0.4157,clean_air,0.000249772
0.1881,clean_air,0.000245168
0.2444,clean_air,0.000353108
0.2714,clean_air,0.000157891
0.2518,clean_air,0.000181612
0.2278,clean_air,9.02E-05
0.1429,health_training,0.000843852
0.1,health_training,0.000546689
0.0783,health_training,0.000564042
0.1194,health_training,0.000700904
0.1696,health_training,0.00063478
0.1,health_training,0.000660904
0.145,health_training,0.000689061
0.075,health_training,0.000448144
0.1435,health_training,0.000487498
0.0786,health_training,0.000733796
0.0547,health_training,0.000502987
0.0571,health_training,0.000705296
0.0313,health_training,0.000455946
0.0803,health_training,0.000495708
0.0909,health_training,0.000474216
0.04,health_training,0.000448856
0.0465,health_training,0.000437352
0.1545,health_training,0.000458731
0.07,health_training,0.00037847
0.115,health_training,0.000313002
0.1206,health_training,0.000279727
0.1208,health_training,0.000309848
0.056,health_training,0.000404913
0.0401,health_training,0.000452294
0.0875,health_training,0.000426022
0.1,health_training,0.000343499
0.1083,health_training,0.000513955
0.1588,health_training,0.000242064
0.1,health_training,0.000387769
0.1308,health_training,0.0003423
0.0513,health_training,0.000391736
0.0053,health_training,0.000350321
0.0186,health_training,0.000218358
0.0225,health_training,0.000312984
0.1091,health_training,0.00044151
0.0909,health_training,0.000342391
0.0909,health_training,0.000104366
0.0426,health_training,0.000410749
0.0192,health_training,0.000370207
0.0636,health_training,0.000219311
0.042,health_training,0.000214088
0.0867,health_training,0.000374396
0.1253,health_training,0.000363433
0.0707,health_training,0.000237128
0.0787,health_training,0.000249772
0.099,health_training,0.000245168
0.1056,health_training,0.000353108
0.0905,health_training,0.000157891
0.1079,health_training,0.000181612
0.038,health_training,9.02E-05
0.2308,school_awearness,0.000843852
0.1885,school_awearness,0.000546689
0.2669,school_awearness,0.000564042
0.1935,school_awearness,0.000700904
0.2515,school_awearness,0.00063478
0.2111,school_awearness,0.000660904
0.1603,school_awearness,0.000689061
0.2333,school_awearness,0.000448144
0.1962,school_awearness,0.000487498
0.3071,school_awearness,0.000733796
0.1244,school_awearness,0.000502987
0.2286,school_awearness,0.000705296
0.1625,school_awearness,0.000455946
0.1906,school_awearness,0.000495708
0.2955,school_awearness,0.000474216
0.2964,school_awearness,0.000448856
0.193,school_awearness,0.000437352
0.2091,school_awearness,0.000458731
0.195,school_awearness,0.00037847
0.315,school_awearness,0.000313002
0.2411,school_awearness,0.000279727
0.2282,school_awearness,0.000309848
0.3163,school_awearness,0.000404913
0.2628,school_awearness,0.000452294
0.1667,school_awearness,0.000426022
0.2375,school_awearness,0.000343499
0.2667,school_awearness,0.000513955
0.2382,school_awearness,0.000242064
0.1467,school_awearness,0.000387769
0.2692,school_awearness,0.0003423
0.2038,school_awearness,0.000391736
0.381,school_awearness,0.000350321
0.2937,school_awearness,0.000218358
0.2229,school_awearness,0.000312984
0.1364,school_awearness,0.00044151
0.5091,school_awearness,0.000342391
0.2828,school_awearness,0.000104366
0.3262,school_awearness,0.000410749
0.2423,school_awearness,0.000370207
0.2909,school_awearness,0.000219311
0.1597,school_awearness,0.000214088
0.2667,school_awearness,0.000374396
0.2437,school_awearness,0.000363433
0.2121,school_awearness,0.000237128
0.191,school_awearness,0.000249772
0.1683,school_awearness,0.000245168
0.2889,school_awearness,0.000353108
0.2048,school_awearness,0.000157891
0.2878,school_awearness,0.000181612
0.1519,school_awearness,9.02E-05
0.197802198,media_awearness,0.000843852
0.119230769,media_awearness,0.000546689
0.195729537,media_awearness,0.000564042
0.212903226,media_awearness,0.000700904
0.198830409,media_awearness,0.00063478
0.116666667,media_awearness,0.000660904
0.20610687,media_awearness,0.000689061
0.0625,media_awearness,0.000448144
0.066985646,media_awearness,0.000487498
0.142857143,media_awearness,0.000733796
0.154228856,media_awearness,0.000502987
0.264285714,media_awearness,0.000705296
0.18125,media_awearness,0.000455946
0.173913043,media_awearness,0.000495708
0.131818182,media_awearness,0.000474216
0.114545455,media_awearness,0.000448856
0.062790698,media_awearness,0.000437352
0.103030303,media_awearness,0.000458731
0.04,media_awearness,0.00037847
0.13,media_awearness,0.000313002
0.056737589,media_awearness,0.000279727
0.093959732,media_awearness,0.000309848
0.138686131,media_awearness,0.000404913
0.106904232,media_awearness,0.000452294
0.108333333,media_awearness,0.000426022
0.1125,media_awearness,0.000343499
0.175,media_awearness,0.000513955
0.085294118,media_awearness,0.000242064
0.08,media_awearness,0.000387769
0.038461538,media_awearness,0.0003423
0.04125,media_awearness,0.000391736
0.137566138,media_awearness,0.000350321
0.074349442,media_awearness,0.000218358
0.220858896,media_awearness,0.000312984
0.063636364,media_awearness,0.00044151
0.122727273,media_awearness,0.000342391
0.101010101,media_awearness,0.000104366
0.120567376,media_awearness,0.000410749
0.123076923,media_awearness,0.000370207
0.227272727,media_awearness,0.000219311
0.109243697,media_awearness,0.000214088
0.22,media_awearness,0.000374396
0.063781321,media_awearness,0.000363433
0.101010101,media_awearness,0.000237128
0.078651685,media_awearness,0.000249772
0.128712871,media_awearness,0.000245168
0.188888889,media_awearness,0.000353108
0.09047619,media_awearness,0.000157891
0.050359712,media_awearness,0.000181612
0.126582278,media_awearness,9.02E-05
0.087912088,sub_counselling,0.000843852
0.057692308,sub_counselling,0.000546689
0.042704626,sub_counselling,0.000564042
0.038709677,sub_counselling,0.000700904
0.076023392,sub_counselling,0.00063478
0.1,sub_counselling,0.000660904
0.06870229,sub_counselling,0.000689061
0.1125,sub_counselling,0.000448144
0.038277512,sub_counselling,0.000487498
0.1,sub_counselling,0.000733796
0.054726368,sub_counselling,0.000502987
0.135714286,sub_counselling,0.000705296
0.0875,sub_counselling,0.000455946
0.093645485,sub_counselling,0.000495708
0.077272727,sub_counselling,0.000474216
0.02,sub_counselling,0.000448856
0.090697674,sub_counselling,0.000437352
0.063636364,sub_counselling,0.000458731
0.095,sub_counselling,0.00037847
0.075,sub_counselling,0.000313002
0.078014184,sub_counselling,0.000279727
0.053691275,sub_counselling,0.000309848
0.068126521,sub_counselling,0.000404913
0.048997773,sub_counselling,0.000452294
0.095833333,sub_counselling,0.000426022
0.05625,sub_counselling,0.000343499
0.033333333,sub_counselling,0.000513955
0.091176471,sub_counselling,0.000242064
0.046666667,sub_counselling,0.000387769
0.076923077,sub_counselling,0.0003423
0.11375,sub_counselling,0.000391736
0.100529101,sub_counselling,0.000350321
0.137546468,sub_counselling,0.000218358
0.128834356,sub_counselling,0.000312984
0.077272727,sub_counselling,0.00044151
0.095454545,sub_counselling,0.000342391
