rate_in_budget,area,rate_in_fatness
0.039 ,sub_counselling,-0.000291642
0.06,sub_counselling,2.64E-05
0.031674208,sub_counselling,8.89E-05
0.033557047,sub_counselling,9.36E-05
0.037807183,sub_counselling,9.71E-05
0.081466395,sub_counselling,0.000102811
0.072727273,sub_counselling,0.000109395
0.093181818,sub_counselling,0.000142632
0.105172414,sub_counselling,0.00017723
0.033333333,sub_counselling,0.000191839
0.144067797,sub_counselling,0.000199441
0.064171123,sub_counselling,0.000217644
0.063829787,sub_counselling,0.000221893
0.047619048,sub_counselling,0.000251961
0.167755991,sub_counselling,0.00025632
0.082987552,sub_counselling,0.000273848
0.068,sub_counselling,0.000312372
0.084656085,sub_counselling,0.000332109
0.119402985,sub_counselling,0.000412649
0.066666667,sub_counselling,0.000427341
0.119133574,sub_counselling,0.000489475
0.139303483,sub_counselling,0.000529788
0.057692308,sub_counselling,0.000545771
0.2745,school_awearness,-0.000291642
0.305,school_awearness,2.64E-05
0.371,school_awearness,8.89E-05
0.2349,school_awearness,9.36E-05
0.3138,school_awearness,9.71E-05
0.3075,school_awearness,0.000102811
0.4455,school_awearness,0.000109395
0.1455,school_awearness,0.000142632
0.231,school_awearness,0.00017723
0.35,school_awearness,0.000191839
0.0576,school_awearness,0.000199441
0.1765,school_awearness,0.000217644
0.1617,school_awearness,0.000221893
0.1645,school_awearness,0.000251961
0.3028,school_awearness,0.00025632
0.1411,school_awearness,0.000273848
0.168,school_awearness,0.000312372
0.127,school_awearness,0.000332109
0.2388,school_awearness,0.000412649
0.2125,school_awearness,0.000427341
0.1516,school_awearness,0.000489475
0.2736,school_awearness,0.000529788
0.2,school_awearness,0.000545771
0.098 ,media_awearness,-0.000291642
0.125,media_awearness,2.64E-05
0.099547511,media_awearness,8.89E-05
0.040268456,media_awearness,9.36E-05
0.024574669,media_awearness,9.71E-05
0.156822811,media_awearness,0.000102811
0.236363636,media_awearness,0.000109395
0.109090909,media_awearness,0.000142632
0.134482759,media_awearness,0.00017723
0.05,media_awearness,0.000191839
0.120338983,media_awearness,0.000199441
0.106951872,media_awearness,0.000217644
0.142553191,media_awearness,0.000221893
0.207792208,media_awearness,0.000251961
0.05664488,media_awearness,0.00025632
0.062240664,media_awearness,0.000273848
0.076,media_awearness,0.000312372
0.068783069,media_awearness,0.000332109
0.139303483,media_awearness,0.000412649
0.195833333,media_awearness,0.000427341
0.168471721,media_awearness,0.000489475
0.248756219,media_awearness,0.000529788
0.203846154,media_awearness,0.000545771
0.1569,health_training,-0.000291642
0.035,health_training,2.64E-05
0.1041,health_training,8.89E-05
0.0671,health_training,9.36E-05
0.1323,health_training,9.71E-05
0.0916,health_training,0.000102811
0.0818,health_training,0.000109395
0.1205,health_training,0.000142632
0.0655,health_training,0.00017723
0.1083,health_training,0.000191839
0.1475,health_training,0.000199441
0.0624,health_training,0.000217644
0.1213,health_training,0.000221893
0.1126,health_training,0.000251961
0.146,health_training,0.00025632
0.0581,health_training,0.000273848
0.14,health_training,0.000312372
0.037,health_training,0.000332109
0.0547,health_training,0.000412649
0.0625,health_training,0.000427341
0.1564,health_training,0.000489475
0.1144,health_training,0.000529788
0.0885,health_training,0.000545771
0.3333,clean_air,-0.000291642
0.19,clean_air,2.64E-05
0.2036,clean_air,8.89E-05
0.2349,clean_air,9.36E-05
0.2533,clean_air,9.71E-05
0.2383,clean_air,0.000102811
0.1273,clean_air,0.000109395
0.1932,clean_air,0.000142632
0.2707,clean_air,0.00017723
0.0333,clean_air,0.000191839
0.3966,clean_air,0.000199441
0.2816,clean_air,0.000217644
0.2723,clean_air,0.000221893
0.1082,clean_air,0.000251961
0.2658,clean_air,0.00025632
0.2614,clean_air,0.000273848
0.204,clean_air,0.000312372
0.4286,clean_air,0.000332109
0.209,clean_air,0.000412649
0.0708,clean_air,0.000427341
0.077,clean_air,0.000489475
0.0896,clean_air,0.000529788
0.2,clean_air,0.000545771
