2018-2008_rate_of_fatness,change_in_rate(10^4),change_rate_pop,region,region_original
0.0010144848192 ,10.14484819,-0.054151304,London,South 
0.000843852,8.438521232,0.013222858,North,North
0.0008165359223 ,8.165359223,-0.120076386,London,South 
0.0008139013269 ,8.139013269,-0.051064382,London,South 
0.0008057698446 ,8.057698446,0.086084088,London,South 
0.0007703083703 ,7.703083703,-0.006727526,London,South 
0.0007637460269 ,7.637460269,-0.065387181,London,South 
0.0007633863340 ,7.63386334,0.052668458,London,South 
0.0007630240505 ,7.630240505,-0.010599863,London,South 
0.0007517187661 ,7.517187661,-0.023869151,London,South 
0.0007388082329 ,7.388082329,-0.179904189,London,South 
0.0007348274668 ,7.348274668,0.044021555,London,South 
0.000733796,7.337963205,0.045653315,North,North
0.0007079894255 ,7.079894255,-0.098507919,London,South 
0.000705296,7.052960926,0.080699734,North,North
0.000700904,7.009039967,0.076454589,North,North
0.0006936991545 ,6.936991545,-0.097993178,London,South 
0.000689061,6.890613643,0.133229783,North,North
0.0006889089252 ,6.889089252,0.090401565,London,South 
0.0006792573296 ,6.792573296,-0.124715965,London,South 
0.0006733991080 ,6.73399108,0.072798881,London,South 
0.0006701307910 ,6.70130791,0.031646483,London,South 
0.0006653219957 ,6.653219957,-0.027913666,London,South 
0.000660904,6.609042919,0.022775788,North,North
0.0006593719956 ,6.593719956,-0.002384773,London,South 
0.0006534120980 ,6.53412098,0.033984384,London,South 
0.00063478,6.347798933,0.070650034,North,North
0.0006105075765 ,6.105075765,0.207280961,London,South 
0.0006077363758 ,6.077363758,0.062900597,London,South 
0.0005883543521 ,5.883543521,0.045588732,London,South 
0.0005845418005 ,5.845418005,0.085304166,London,South 
0.000564042,5.640424556,0.079826109,North,North
0.0005516116933 ,5.516116933,0.078590044,London,South 
0.000546689,5.466885954,0.105206677,North,North
0.000546201,5.462014518,0.025447133,South_except_London,South 
0.000545771,5.457711332,0.0711444,Midlands,Midlands
0.000529788,5.29788253,0.101328918,Midlands,Midlands
0.000513955,5.139545671,0.021076864,North,North
0.000502987,5.029868468,0.074302974,North,North
0.0005016179059 ,5.016179059,-0.190114787,London,South 
0.000495708,4.9570829,0.089478779,North,North
0.000489475,4.894750288,0.058685217,Midlands,Midlands
0.000487498,4.874975242,0.101632167,North,North
0.000474216,4.742155424,0.073306123,North,North
0.0004708179417 ,4.708179417,0.038427024,London,South 
0.0004688248838 ,4.688248838,0.14799538,London,South 
0.0004687,4.687003221,0.208057067,South_except_London,South 
0.000458731,4.587309292,0.096767367,North,North
0.000455946,4.559458001,0.137275915,North,North
0.0004554532991 ,4.554532991,0.127207733,London,South 
0.0004523904229 ,4.523904229,0.113696217,London,South 
0.000452294,4.52294378,0.011916104,North,North
0.000448856,4.488564078,-0.042415909,North,North
0.000448144,4.481439075,0.102600076,North,North
0.00044151,4.415102606,0.075869088,North,North
0.000437352,4.373520518,0.064966294,North,North
0.000427341,4.273413481,0.024369571,Midlands,Midlands
0.000426022,4.260221991,0.123767358,North,North
0.000412649,4.126494026,0.103105948,Midlands,Midlands
0.000410749,4.107491638,0.061836219,North,North
0.000404913,4.049134064,0.103660467,North,North
0.000401083,4.010825442,-0.058956809,South_except_London,South 
0.000391736,3.917356899,0.080161378,North,North
0.000387769,3.87769481,0.108510595,North,North
0.00037847,3.78469746,0.11810929,North,North
0.000374396,3.743958499,0.090047217,North,North
0.000370207,3.702070557,0.054065903,North,North
0.000363433,3.634326913,-0.041597757,North,North
0.000353108,3.531083109,0.110131356,North,North
0.000350321,3.50321387,0.045448472,North,North
0.000343499,3.434985515,0.055527939,North,North
0.000342391,3.423912859,0.002119992,North,North
0.0003423,3.423004125,0.046652585,North,North
0.000332108,3.321084539,0.067261791,Midlands,Midlands
0.000315375,3.153753669,0.045058421,South_except_London,South 
0.000314471,3.14471186,0.088176231,South_except_London,South 
0.000313002,3.130017552,0.028466773,North,North
0.000312984,3.129843972,0.131491184,North,North
0.000312372,3.123724018,0.111925255,Midlands,Midlands
0.0003100383402 ,3.100383402,-0.13604769,London,South 
0.000309848,3.098480446,0.068333648,North,North
0.00030908,3.090800324,0.123253274,South_except_London,South 
0.000282076,2.820760039,0.10215723,South_except_London,South 
0.000280564,2.805637171,0.236371824,South_except_London,South 
0.000279727,2.79726786,0.132555319,North,North
0.0002791740365 ,2.791740365,-0.078648976,London,South 
0.000273848,2.738481596,0.003014077,Midlands,Midlands
0.00027384,2.738403625,0.036591357,South_except_London,South 
0.00026427,2.642701845,0.069603796,South_except_London,South 
0.00025753,2.575302211,0.150387634,South_except_London,South 
0.00025632,2.56319693,0.126608146,Midlands,Midlands
0.000251961,2.519610102,0.207125214,Midlands,Midlands
0.000249772,2.497717648,0.051669638,North,North
0.000245168,2.451679665,-0.040158223,North,North
0.000242064,2.420636463,0.081662244,North,North
0.000240217,2.402172255,0.007520782,South_except_London,South 
0.000239605,2.396054233,0.143110133,South_except_London,South 
0.000237128,2.371276083,0.121641328,North,North
0.000236007,2.36007323,0.139195758,South_except_London,South 
0.000226427,2.264268645,0.174882926,South_except_London,South 
0.000221893,2.218931563,0.138959285,Midlands,Midlands
0.000219311,2.193106672,0.066133455,North,North
0.000218358,2.18358051,0.106775289,North,North
0.000217644,2.176437822,0.127038072,Midlands,Midlands
0.000214088,2.140877368,0.047516432,North,North
0.00019944,1.994404819,0.098733714,Midlands,Midlands
0.000198277,1.982767129,0.142088768,South_except_London,South 
0.000191839,1.918385071,0.139366852,Midlands,Midlands
0.000186907,1.869074729,0.077617979,South_except_London,South 
0.000185151,1.851514562,0.106373385,South_except_London,South 
0.000184794,1.847940159,0.109672843,South_except_London,South 
0.000183452,1.834516023,0.033657255,South_except_London,South 
0.000181612,1.816117381,0.074814523,North,North
0.00017723,1.772302184,0.103419862,Midlands,Midlands
0.000175842,1.758419496,0.13189497,South_except_London,South 
0.000167298,1.67297653,0.151370358,South_except_London,South 
0.000160527,1.605265169,0.15806267,South_except_London,South 
0.000158242,1.58242402,0.095470733,South_except_London,South 
0.000157891,1.578914343,0.084152117,North,North
0.000151667,1.516666157,0.142712592,South_except_London,South 
0.000145888,1.458878633,0.128070879,South_except_London,South 
0.000142632,1.426315985,0.115008512,Midlands,Midlands
0.000138474,1.384735147,0.034459148,South_except_London,South 
0.000135356,1.353556903,0.027218153,South_except_London,South 
0.000125715,1.25715149,0.077033311,South_except_London,South 
0.000124977,1.24977381,0.150212558,South_except_London,South 
0.00012009,1.200899636,0.103273108,South_except_London,South 
0.000109395,1.093945409,0.096955478,Midlands,Midlands
0.000104366,1.043655818,0.042197908,North,North
0.000103615,1.036150551,-0.057778074,South_except_London,South 
0.000102811,1.02810673,0.164824873,Midlands,Midlands
0.000101498,1.014977058,0.048913539,South_except_London,South 
9.71355E-05,0.97135478,0.117566526,Midlands,Midlands
9.36321E-05,0.936320789,0.043109022,Midlands,Midlands
9.01854E-05,0.901854104,0.109741941,North,North
8.88667E-05,0.888667378,-0.02096448,Midlands,Midlands
8.26687E-05,0.826687464,0.091324141,South_except_London,South 
7.82796E-05,0.782796357,0.138241361,South_except_London,South 
0.0000739797596 ,0.739797596,-0.287484619,London,South 
6.15871E-05,0.615870922,0.130615074,South_except_London,South 
5.63116E-05,0.563115927,0.059952414,South_except_London,South 
3.1653E-05,0.316529934,-0.043997675,South_except_London,South 
3.10796E-05,0.310795713,0.148246921,South_except_London,South 
2.63667E-05,0.263666547,0.087705901,Midlands,Midlands
1.83546E-05,0.183546129,0.083694772,South_except_London,South 
1.35834E-05,0.135833864,0.022719358,South_except_London,South 
5.71249E-06,0.057124872,0.101220674,South_except_London,South 
-9.63509E-05,-0.96350921,0.051495275,South_except_London,South 
-9.81922E-05,-0.981922175,0.142337874,South_except_London,South 
-0.000137445,-1.374453447,0.074658434,South_except_London,South 
-0.000291642,-2.916418596,0.119620468,Midlands,Midlands
