change_in_pop_North,change_in_pop_South,change_in_pop
60225 ,240 ,
94041 ,-3271 ,
67523 ,61213 ,
78944 ,20130 ,
105786 ,-17937 ,
-33283 ,17508 ,
91542 ,-10371 ,
115444 ,26594 ,
78579 ,31058 ,
77697 ,92759 ,
81780 ,15520 ,
6016 ,9027 ,
61746 ,65082 ,
-19820 ,9991 ,
35311 ,19326 ,
52710 ,13922 ,
40776 ,10195 ,
39325 ,10709 ,
33957 ,113824 ,
32633 ,17520 ,
26203 ,88766 ,
36135 ,24570 ,
32352 ,-23096 ,
21942 ,33059 ,
15292 ,9095 ,
32536 ,-54308 ,
922 ,-14551 ,
38745 ,12002 ,
33348 ,7005 ,
7619 ,-6813 ,
60627 ,24369 ,
-6261 ,144281 ,
20947 ,-11603 ,
20852 ,93456 ,
593 ,1510 ,
21429 ,25958 ,
31570 ,212007 ,
26484 ,96582 ,
24293 ,-7468 ,
19729 ,90000 ,
34405 ,19205 ,
21133 ,165527 ,
7484 ,46689 ,
16471 ,9209 ,
10205 ,6456 ,
21757 ,-1998 ,
5004 ,26697 ,
15252 ,-7501 ,
31128 ,19332 ,
10612 ,8907 ,
21415 ,-41084 ,
19376 ,84073 ,
13768 ,37925 ,
8868 ,29371 ,
21422 ,-8680 ,
11307 ,28756 ,
15837 ,-541 ,
9396 ,-18697 ,
13311 ,-25467 ,
25475 ,26030 ,
7112 ,118755 ,
25133 ,-24332 ,
3177 ,5884 ,
6593 ,24400 ,
15786 ,5806 ,
10468 ,-20687 ,
-5665 ,-1115 ,
14514 ,36284 ,
5974 ,5385 ,
1856 ,56146 ,
4724 ,6948 ,
11061 ,9931 ,
4589 ,109770 ,
,50557 ,
,12278 ,
,-18527 ,
,65676 ,
,2921 ,
,56423 ,
