rate_in_budget,area,rate_in_fatness
0.3382,clean_air,0.00030908
0.3889,clean_air,0.000546202
0.3,clean_air,0.00026427
0.2258,clean_air,0.000280564
0.1364,clean_air,0.000401083
0.2984,clean_air,0.000185152
0.1476,clean_air,0.000184794
0.1347,clean_air,0.000282076
0.1789,clean_air,0.000314471
0.2094,clean_air,0.000226427
0.2,clean_air,0.0004687
0.1835,clean_air,0.00027384
0.2846,clean_air,0.000186908
0.2294,clean_air,0.000236007
0.2185,clean_air,0.000160527
0.3,clean_air,0.000103615
0.1385,clean_air,0.000151667
0.1068,clean_air,0.00025753
0.131,clean_air,0.000167298
0.1625,clean_air,0.000101498
0.16,clean_air,0.000198277
0.167,clean_air,0.000145888
0.0426,clean_air,8.27E-05
0.1944,clean_air,0.000239605
0.2579,clean_air,0.000158242
0.2376,clean_air,0.000124977
0.2685,clean_air,0.000125715
0.32,clean_air,0.000175842
0.25,clean_air,7.83E-05
0.205,clean_air,5.63E-05
0.2522,clean_air,1.36E-05
0.2776,clean_air,0.00012009
0.2385,clean_air,3.11E-05
0.3714,clean_air,0.000183452
0.2099,clean_air,0.000240217
0.2987,clean_air,6.16E-05
0.2645,clean_air,-9.64E-05
0.175,clean_air,0.000138474
0.2704,clean_air,5.71E-06
0.1414,clean_air,0.000031653
0.2168,clean_air,1.84E-05
0.1973,clean_air,0.000315375
0.1483,clean_air,0.000135356
0.0289,clean_air,-9.82E-05
0.1381,clean_air,-0.000137445
0.3528,clean_environ,0.00030908
0.2778,clean_environ,0.000546202
0.3364,clean_environ,0.00026427
0.1871,clean_environ,0.000280564
0.1364,clean_environ,0.000401083
0.2369,clean_environ,0.000185152
0.3857,clean_environ,0.000184794
0.4413,clean_environ,0.000282076
0.4544,clean_environ,0.000314471
0.1759,clean_environ,0.000226427
0.275,clean_environ,0.0004687
0.3761,clean_environ,0.00027384
0.4,clean_environ,0.000186908
0.2246,clean_environ,0.000236007
0.3445,clean_environ,0.000160527
0.2727,clean_environ,0.000103615
0.4077,clean_environ,0.000151667
0.2026,clean_environ,0.00025753
0.1483,clean_environ,0.000167298
0.2,clean_environ,0.000101498
0.2,clean_environ,0.000198277
0.2259,clean_environ,0.000145888
0.2624,clean_environ,8.27E-05
0.2,clean_environ,0.000239605
0.1737,clean_environ,0.000158242
0.2846,clean_environ,0.000124977
0.2764,clean_environ,0.000125715
0.1733,clean_environ,0.000175842
0.3243,clean_environ,7.83E-05
0.2609,clean_environ,5.63E-05
0.2913,clean_environ,1.36E-05
0.2523,clean_environ,0.00012009
0.2308,clean_environ,3.11E-05
0.0643,clean_environ,0.000183452
0.1358,clean_environ,0.000240217
0.2021,clean_environ,6.16E-05
0.2645,clean_environ,-9.64E-05
0.3,clean_environ,0.000138474
0.0181,clean_environ,5.71E-06
0.1832,clean_environ,0.000031653
0.2515,clean_environ,1.84E-05
0.2757,clean_environ,0.000315375
0.2679,clean_environ,0.000135356
0.4158,clean_environ,-9.82E-05
0.2524,clean_environ,-0.000137445
0.0243,health_training,0.00030908
0.1,health_training,0.000546202
0.1182,health_training,0.00026427
0.0581,health_training,0.000280564
0.1455,health_training,0.000401083
0.082,health_training,0.000185152
0.0857,health_training,0.000184794
0.1748,health_training,0.000282076
0.1091,health_training,0.000314471
0.1203,health_training,0.000226427
0.075,health_training,0.0004687
0.1193,health_training,0.00027384
0.1308,health_training,0.000186908
0.1583,health_training,0.000236007
0.0252,health_training,0.000160527
0.0909,health_training,0.000103615
0.0846,health_training,0.000151667
0.0436,health_training,0.00025753
0.1517,health_training,0.000167298
0.15,health_training,0.000101498
0.15,health_training,0.000198277
0.1089,health_training,0.000145888
0.1489,health_training,8.27E-05
0.1722,health_training,0.000239605
0.0526,health_training,0.000158242
0.0718,health_training,0.000124977
0.1146,health_training,0.000125715
0.1267,health_training,0.000175842
0.09,health_training,7.83E-05
0.118,health_training,5.63E-05
0.0652,health_training,1.36E-05
0.0439,health_training,0.00012009
0.1308,health_training,3.11E-05
0.1071,health_training,0.000183452
0.1481,health_training,0.000240217
0.0733,health_training,6.16E-05
0.124,health_training,-9.64E-05
0.2583,health_training,0.000138474
0.1525,health_training,5.71E-06
0.1309,health_training,0.000031653
0.0485,health_training,1.84E-05
0.1,health_training,0.000315375
0.0335,health_training,0.000135356
0.0289,health_training,-9.82E-05
0.1095,health_training,-0.000137445
0.153284672,media_awearness,0.00030908
0.144444444,media_awearness,0.000546202
0.109090909,media_awearness,0.00026427
0.161290323,media_awearness,0.000280564
0.136363636,media_awearness,0.000401083
0.138952164,media_awearness,0.000185152
0.128571429,media_awearness,0.000184794
0.12034384,media_awearness,0.000282076
0.191413238,media_awearness,0.000314471
0.187082405,media_awearness,0.000226427
0.183333333,media_awearness,0.0004687
0.091743119,media_awearness,0.00027384
0.023076923,media_awearness,0.000186908
0.140549273,media_awearness,0.000236007
0.075630252,media_awearness,0.000160527
0.054545455,media_awearness,0.000103615
0.146153846,media_awearness,0.000151667
0.250544662,media_awearness,0.00025753
0.175862069,media_awearness,0.000167298
0.05625,media_awearness,0.000101498
0.06,media_awearness,0.000198277
0.18125,media_awearness,0.000145888
0.113475177,media_awearness,8.27E-05
0.133333333,media_awearness,0.000239605
0.173684211,media_awearness,0.000158242
0.103418803,media_awearness,0.000124977
0.048314607,media_awearness,0.000125715
0.12,media_awearness,0.000175842
0.135714286,media_awearness,7.83E-05
0.062111801,media_awearness,5.63E-05
0.134782609,media_awearness,1.36E-05
0.070093458,media_awearness,0.00012009
0.053846154,media_awearness,3.11E-05
0.1,media_awearness,0.000183452
0.166666667,media_awearness,0.000240217
0.076923077,media_awearness,6.16E-05
0.132231405,media_awearness,-9.64E-05
0.091666667,media_awearness,0.000138474
0.114337568,media_awearness,5.71E-06
0.130890052,media_awearness,0.000031653
0.101980198,media_awearness,1.84E-05
0.17027027,media_awearness,0.000315375
0.186602871,media_awearness,0.000135356
0.076315789,media_awearness,-9.82E-05
0.042857143,media_awearness,-0.000137445
0.082725061,sub_counselling,0.00030908
0.044444444,sub_counselling,0.000546202
0.036363636,sub_counselling,0.00026427
0.119354839,sub_counselling,0.000280564
0.2,sub_counselling,0.000401083
0.107061503,sub_counselling,0.000185152
0.052380952,sub_counselling,0.000184794
0.040114613,sub_counselling,0.000282076
0.060822898,sub_counselling,0.000314471
0.062360802,sub_counselling,0.000226427
0.066666667,sub_counselling,0.0004687
0.055045872,sub_counselling,0.00027384
0.1,sub_counselling,0.000186908
0.066235864,sub_counselling,0.000236007
0.084033613,sub_counselling,0.000160527
0.081818182,sub_counselling,0.000103615
0.053846154,sub_counselling,0.000151667
0.093681917,sub_counselling,0.00025753
0.086206897,sub_counselling,0.000167298
0.11875,sub_counselling,0.000101498
0.05,sub_counselling,0.000198277
0.079464286,sub_counselling,0.000145888
0.113475177,sub_counselling,8.27E-05
0.15,sub_counselling,0.000239605
0.073684211,sub_counselling,0.000158242
0.053846154,sub_counselling,0.000124977
0.08988764,sub_counselling,0.000125715
0.073333333,sub_counselling,0.000175842
0.101428571,sub_counselling,7.83E-05
0.043478261,sub_counselling,5.63E-05
0.091304348,sub_counselling,1.36E-05
0.090654206,sub_counselling,0.00012009
0.046153846,sub_counselling,3.11E-05
0.128571429,sub_counselling,0.000183452
0.086419753,sub_counselling,0.000240217
0.094812165,sub_counselling,6.16E-05
0.082644628,sub_counselling,-9.64E-05
0.025,sub_counselling,0.000138474
0.056261343,sub_counselling,5.71E-06
0.068062827,sub_counselling,0.000031653
0.044554455,sub_counselling,1.84E-05
0.045945946,sub_counselling,0.000315375
0.090909091,sub_counselling,0.000135356
0.121052632,sub_counselling,-9.82E-05
0.09047619,sub_counselling,-0.000137445
